school,n_block_groups,total_pop,Particulate Matter Summary Index_pct_usa,Ozone Summary Index_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint Summary Index_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,Particulate Matter Summary Index_pct_state,Ozone Summary Index_pct_state,Diesel Particulate Matter Summary Index_pct_state,Nitrogen Dioxide (NO2) Summary Index_pct_state,Toxic Releases to Air Summary Index_pct_state,Traffic Proximity and Volume Summary Index_pct_state,Lead Paint Summary Index_pct_state,Superfund Proximity Summary Index_pct_state,RMP Proximity Summary Index_pct_state,Hazardous Waste Proximity Summary Index_pct_state,Underground Storage Tanks Summary Index_pct_state,Wastewater Discharge Summary Index_pct_state,Drinking Water Non-Compliance Summary Index_pct_state,Location,year_founded
Denmark Technical College,6,5075,41.368866995073894,2,8.624433497536947,12.151527093596059,31.01655172413793,9.12847290640394,54.28886699507389,0,17.641182266009853,5.698325123152709,48.637635467980296,21.541083743842364,0,65.73064039408867,3.1261083743842364,14.810443349753694,23.522364532019704,52.999408866995076,16.11704433497537,72.99684729064039,0,28.361379310344827,8.900886699507389,66.7615763546798,35.94266009852217,0,"Denmark, SC",1947
Dillard University,18,13951,61.68267507705541,45.569708264640525,82.82682245000359,75.87319905383127,91.76324277829546,67.73872840656584,64.87807325639739,66.66798078990753,69.6585907820228,77.17167228155688,31.56046161565479,36.56648268941294,85,40.71471579098272,30.563400473084368,55.5254103648484,51.089957709124796,58.38857429574941,46.74869185004659,41.72073686474088,60.981650060927535,48.61078058920508,52.163859221561175,23.476381621389148,24.603756003153897,76.40097484051323,"New Orleans, LA",1869
Edward Waters University,18,23947,64,27,71.7986804192592,59.82991606464275,37.653401261118304,75.53363678122521,70.22975738088279,96.48857894517059,98.44473211675783,67.34906251304965,96.44790579195724,86.01966843445943,0,91.19584916691026,54.93706936150666,93.34079425397753,86.60320708230677,70.40167870714494,94.13989226207876,90.92287134087778,98.01941788115421,97.38902576523155,91.86595398170961,97.79028688353448,96.62183154466112,0,"Jacksonville, FL",1866
Elizabeth City State University,9,11232,3.3409900284900287,2,17.753650284900285,25.849358974358974,5.887731481481482,31.99189814814815,46.06508190883191,28.440527065527064,48.357371794871796,26.906606125356124,83.19934116809117,0,0,4.683493589743589,2.621794871794872,26.35176282051282,38.503116096866094,6.4564636752136755,45.60826210826211,55.15224358974359,36.59900284900285,61.01103988603989,38.84357193732194,80.81036324786325,0,0,"Elizabeth City, NC",1891
Fayetteville State University,9,6485,16.669545104086353,15,39.12259059367772,43.37609868928296,85.01804163454125,68.25828835774865,61.701927525057826,74.59090208172707,36.80663068619892,40.74325366229761,92.97532767925983,75.06399383191982,78,30.871087124132615,27.44502698535081,66.33415574402467,68.89930609097918,90.88928296067849,87.15281418658442,79.74710871241327,89.92181958365458,62.24934464148034,67.2148033924441,92.8396299151889,88.74895913646877,92.9301464919044,"Fayetteville, NC",1867
Fisk University,19,28329,54.752938684740016,39.50700695400473,91.069540047301345,93.10949909986233,49.51664372198101,86.2960923435349,37.8744749196936,0,84.17180274630238,84.46708320096015,68.58900773059409,24.147410780472306,0,63.86377916622542,50.809594408556606,84.18083942249991,83.72738183486886,60.06240954498924,82.38052878675562,44.81333615729464,0,79.7438314095097,81.59716191888171,71.63588548836881,31.633308623671855,0,"Nashville, TN",1866
Florida A&M University,18,23045,54.88266435235409,19.384378390106313,67.04460837491864,91.32805380776742,7.012627467997397,60.961336515513125,47.78277283575613,93.30514211325668,44.51104361032762,49.58572358429161,95.46595790844,9.382338902147971,78,61.49711434150575,23.50392709915383,71.12488609242786,81.52944239531352,8.81032761987416,67.46361466695596,50.51737904100673,85.63961813842482,53.9560425254936,57.98975916684747,82.40655239748318,13.1568669993491,85.11746582772835,"Tallahassee, FL",1887
Florida Memorial University,19,30210,56.74121151936445,49.592916252896394,90.14836146971201,76.07765640516385,94.83763654419066,80.70423700761337,57.72284011916584,79.01118834822907,78.71787487586892,67.5020854021847,86.04296590532937,10.37841774246938,97,73.06421714664019,68.653227408143,90.26514399205561,83.87560410460112,91.47964250248262,87.26577292287323,66.73336643495531,87.62714333002317,84.33720622310493,80.63783515392254,85.9727573651109,14.071631909963589,93.57411056944301,"Miami Gardens, FL",1879
Fort Valley State University,10,13241,71.69813458198021,9.615890038516728,23.020164640132922,29.326259345970847,29.80424439241749,22.21025602295899,45.3487651990031,84.38237293255797,3.39037837021373,31.93112302696171,55.41499886715505,10.57473000528661,0,83.67404274601616,13.496639226644513,35.64368250132165,44.15550185031342,44.53923419681293,34.76973038290159,56.78551468922287,88.693225587191293,4.442564760969716,48.863983082848726,68.50993127407295,16.04274601616192,0,"Fort Valley, GA",1895
Gadsden State Community College,8,9601,60.784397458598065,11.653056973231955,32.23226747213832,25.138318925111967,80.26268097073222,42.65555671284241,59.371732111238416,0,84.04468284553693,27.149463597541924,64.0741589417769,43.270909280283306,96.33559004270388,80.40464534944276,19.490157275283824,52.398083532965316,42.42131028017915,89.28153317362775,64.83918341839392,70.71919591709197,0,88.33111134256848,46.75325486928445,76.95490053119467,65.53515258827206,95.02510155192168,"Gadsden, AL",1985
