school,n_block_groups,total_pop,Particulate Matter Summary Index_pct_usa,Ozone Summary Index_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint Summary Index_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,Particulate Matter Summary Index_pct_state,Ozone Summary Index_pct_state,Diesel Particulate Matter Summary Index_pct_state,Nitrogen Dioxide (NO2) Summary Index_pct_state,Toxic Releases to Air Summary Index_pct_state,Traffic Proximity and Volume Summary Index_pct_state,Lead Paint Summary Index_pct_state,Superfund Proximity Summary Index_pct_state,RMP Proximity Summary Index_pct_state,Hazardous Waste Proximity Summary Index_pct_state,Underground Storage Tanks Summary Index_pct_state,Wastewater Discharge Summary Index_pct_state,Drinking Water Non-Compliance Summary Index_pct_state,Location,year_founded
Georgia Southern University,14,23054,69.1412770018218,3.3178190335733495,25.200615945172203,38.840938665741305,24.21085278042856,27.979222694543246,27.58614557126746,0,0,0,72.70807668951159,25.655981608397674,77.68105317949163,77.4203608918192,4.053916890778173,34.30042508892166,51.0054654289928,32.550620282814265,38.3315693588965,32.590526589745814,0,0,0,77.31083542986033,34.06970590786848,86.60887481565021,"Statesboro, GA",1906
Kennesaw State University,7,14723,81,26.21381511920125,74.07383006180805,64.59899477008761,37.107043401480674,63.85682265842559,9.346600556951708,0,71.32119812538205,60.892616993819196,71.81172315424845,44.26808395028187,21.205325001698025,69.51253141343476,24.80336887862528,67.14718467703592,59.54139781294573,35.906269102764384,59.901854241662704,9.568090742375874,0,63.199280038035724,57.90137879508252,63.20586836921823,41.85777355158596,23.49779256944916,"Kennesaw, GA",1963
Augusta University,18,15442,85.26130034969563,7.845421577515866,50.33136899365367,59.53373915295946,61.370418339593314,53.46898070198161,85.01670768035228,84.23112291153996,81.77224452791089,34.43640720113975,71.04086258256703,42.626149462504856,0,87.55090014246859,10.591050382074862,67.10005180676079,72.46153348011916,75.21447998963865,69.93226266027716,84.913482709493593,88.07822820878124,83.89198290376895,50.46891594353063,77.97480896256961,58.28208781245952,0,"Augusta, GA",1828
University of Kentucky,22,34819,57.03845601539389,35.60610586174215,75.99775984376346,71.09213360521554,63.08279962089664,64.74054395588615,67.95149200149343,0,59.78635227892817,62.81938022344122,62.559665699761624,71.97389356385881,0,59.120796117062525,40.3911370228898,71.92305924926046,68.00134983773228,63.53014158936213,65.6361182113214,63.50257043568167,0,62.02849019213648,64.20213102041988,62.49763060398058,68.98986185703208,0,"Lexington, KY",1865
Western Kentucky University,11,17283,54.13637678643754,25.792107851646126,46.02163976161546,73.26997627726668,88.19938668055315,37.898223688017126,14.656136087484812,0,75.02736793380778,61.54741653648094,69.21003298038535,56.9061505525661,0,75.21333101892033,41.95446392408725,69.15448706821732,85.25938783775965,91.80009257652029,60.3162645374067,20.271307064745702,0,85.5185442342186,80.62801596944975,82.10125556905629,77.23155702135045,0,"Bowling Green, KY",1906
Eastern Kentucky University,16,23822,43.75354714129796,25.81311392830157,51.83343128200823,48.722063638653346,94.81458315842498,34.48673495088573,30.5044916463773,0,55.648434220468474,52.79204097053144,68.3357820502057,75.43077827218538,0,58.38229367811267,36.77147174880363,66.634035765259,64.01712702543867,90.2361262698346,49.96654353118966,40.137058181512884,0,68.81189656619931,68.57090084795567,76.6256821425573,82.69876584669633,0,"Richmond, KY",1906
Murray State University,14,13444,29.87704552216602,33.40293067539423,35.21325498363582,65.80615888128533,25.442427848854507,26.259149062778935,50.30147277595954,0,77.88069027075275,33.80712585540018,63.71489140136864,32.48928890211246,0,43.52224040464147,49.511826837250815,51.682832490330256,78.41341862540911,36.403079440642664,40.12310324308242,61.61410294555192,0,83.65545968461767,50.673460279678665,75.41282356441535,47.35636715263315,0,"Murray, KY",1922
Morehead State University,6,8154,24.247240618101547,10.774589158695118,20.703948982094676,21.30512631837135,66.44370860927152,21.317144959529067,33.92813343144469,18.330144714250675,0,23.28795683100319,60.08045131223939,19.62570517537405,33.828918322295806,33.57272504292372,14.000981113563896,28.68653421633554,30.750429237184203,77.78072111846946,30.253127299484916,43.05285749325484,22.68027961736571,0,33.30193769928869,70.44101054697082,26.982462595045376,37.77974000490557,"Morehead, KY",1922
Louisiana State University,16,22016,62.8928960755814,67.44413154069767,80.09906431686046,48.075445130813954,98,52.57576308139535,37.6071039244186,68.99945494186046,83.65874818313954,76.58879905523256,65.66828670058139,69.20525981104652,0,72.14952761627907,76.20644077034883,81.86909520348837,59.74890988372093,87.60583212209302,65.02334665697674,44.081213662790695,79.86319040697674,81.02202943313954,79.8170421511628,72.20780341569767,74.91996729651163,0,"Baton Rouge, LA",1853
University of Louisiana at Lafayette,25,15175,59.4009884678748,36.81660626029654,51.25640856672158,55.40309719934102,80.79288303130149,43.82800658978583,60.3697528830313,0,90.22280065897858,64.34069192751235,73.83341021416804,97.61640856672159,NA,60.414102141680395,42.69970345963756,56.29627677100494,58.61199341021417,73.16046128500824,49.91532125205931,58.23584843492586,0,76.16046128500824,64.97225700164745,66.62537067545304,79.82299835255354,NA,"Lafayette, LA",1898
University of Louisiana at Monroe,13,14651,58.55013309671695,20.29083339021227,40.89222578663573,43.273974472732235,52.31294792164358,30.67462971810798,44.581803289877826,0,72.62637362637362,53.70438877892294,72.39307897071872,34.522080404067985,0,75.14429049211658,31.419561804654972,59.05207835642618,60.32598457443178,70.2809364548495,48.143471435396904,57.74622892635315,0,82.12866015971606,71.84151252474234,80.8344140331718,51.43662548631493,0,"Monroe, LA",1931
Northwestern State University,13,13352,48.5475584182145,12.597438585979628,17.701842420611143,31.989364889155183,18.67637807070102,22.404433792690234,39.68319352905932,0,74.21120431396045,0,40.58051228280407,99,0,62.94000898741761,17.048307369682444,26.204239065308567,45.519397843019775,26.734272019173158,32.93544038346315,47.37649790293589,0,79.11511384062312,0,51.34601557819053,90.774415817855,0,"Natchitoches, LA",1884
McNeese State University,15,12245,63.78742343813801,27.41037158023683,47.163821968150266,74.04181298489179,98.18105349122091,40.4929358922009,67.98611678236014,81.11792568395263,97.72829726418946,70.77852184565128,71.74536545528787,94.66100449162924,0,76.73687219273172,41.49269089424255,64.88280930992242,80.77117190690078,90.00783993466722,58.66247447937934,76.9605553287056,86.66786443446304,88.64826459779502,80.63862801143324,77.27872601061658,89.27790935075541,0,"Lake Charles, LA",1939
Nicholls State University,3,4307,34.01834223357325,42.28720687253308,27.2282331088925,7.462270722080334,31.523101927095425,17.223589505456236,30.758764801485952,32.60297190619921,40.61899233805433,39.39354539122359,31.940329695843975,76.69375435337822,0,32.80589737636406,41.04132807058277,26.571859763176224,6.111446482470397,30.124448572091943,15.141629904806129,31.897144183886695,37.47318319015556,41.77246343162294,39.54306942187137,33.220338983050844,67.49640120733689,0,"Thibodaux, LA",1948
Southeastern Louisiana University,14,21607,50.10936270653029,40.56629795899477,46.562734299069746,39.17475818021937,43.235895774517516,34.94686907020873,32.62058592122923,0,81.0602119683436,46.45415837460082,66.85384366177628,58.746517332346,0,73.37571157495256,65.36390984403202,69.71351876706623,61.47669736659416,62.425787939093816,58.400379506641364,45.670801129263666,0,89.02429768130699,70.6312769010043,81.34701717036145,79.53376220669227,0,"Hammond, LA",1925
University of Maryland,13,35891,15.948761527959656,50.33838566771614,81.13223370761472,58.39728622774512,34.81454960853696,79.53453512022513,56.747513304170965,82.42417319105068,48.33465214120532,87.46847399069405,59.910311777325795,57.07444763311136,0,19.775096820930038,58.47059151319272,78.3837173664707,63.31484216098743,41.708729207879415,77.39840071327073,57.144493048396534,82.31356050263297,55.753949458081415,80.96302694268758,64.16112674486641,62.83070964865844,0,"College Park, MD",1856
Towson University,24,36340,20.712933406714363,62,71.41147495872318,64.67171161254815,42.91964777105118,77.36623555310952,58.3727022564667,9.119262520638415,58.54656026417171,77.4168409466153,63.55756741882224,33.813869014859655,0,20.103824986241058,55.24733076499725,61.879911942762796,56.415767749036874,39.67872867363786,65.1882773802972,47.210511832691246,8.710099064391855,52.690121078701154,64.64397358282883,53.78869014859659,31.136846450192625,0,"Towson, MD",1866
