school,group,Location,year_founded,Latitude,Longitude,n_block_groups,total_pop,PM2.5 [raw]_pct_usa,PM2.5 [EJindex]_pct_usa,Particulate Matter Summary Index_pct_usa,Ozone [raw]_pct_usa,Ozone [EJindex]_pct_usa,Ozone Summary Index_pct_usa,NO2 [raw]_pct_usa,NO2 [EJindex]_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Diesel PM [raw]_pct_usa,Diesel PM [EJindex]_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Toxic Air [raw]_pct_usa,Toxic Air [EJindex]_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic [raw]_pct_usa,Traffic [EJindex]_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint [raw]_pct_usa,Lead Paint [EJindex]_pct_usa,Lead Paint Summary Index_pct_usa,Superfund [raw]_pct_usa,Superfund [EJindex]_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP [raw]_pct_usa,RMP [EJindex]_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste [raw]_pct_usa,Hazardous Waste [EJindex]_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,UST [raw]_pct_usa,UST [EJindex]_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater [raw]_pct_usa,Wastewater [EJindex]_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water [raw]_pct_usa,Drinking Water [EJindex]_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,burden_score,state_abbr,region,treat,distance,weights,subclass
Concordia College Alabama,HBCU,"Selma, AL",1922,32.4074,-87.021,26,24654,61.4429,84.0327,80.543,1,4.2176,1.6432,23.5372,50.5358,38.8086,18.8997,48.1052,32.6889,39.4453,72.2946,60.291,21.5906,51.3337,37.1381,53.0098,75.8956,66.7526,0,0,0,15.5094,30.4866,25.6799,0,0,0,59.1907,79.1038,72.8637,65.0956,86.1731,82.5863,21.8274,24.6283,24.7306,40.2866076923077,AL,South,1,0.5351242250379754,1,21
Coppin State University,HBCU,"Baltimore, MD",1900,39.3142,-76.6488,177,149880,18.4407,44.4115,30.3346,62.0979,81.9653,80.7899,82.4989,85.8634,86.591,79.4511,86.1976,87.3743,50.3539,76.5982,70.7816,83.0167,87.1439,88.6706,85.3158,87.8977,86.8548,46.7805,55.5737,55.2932,88.2009,88.2603,88.4253,89.8892,89.1375,90.5135,58.2935,67.782,66.245,58.7741,76.715,71.5316,0,0,0,69.49272307692307,MD,Northeast,1,0.7147604325583263,1,22
Delaware State University,HBCU,"Dover, DE",1891,39.1897,-75.5346,18,32288,9.4976,22.6254,13.9364,52.9055,69.2327,69.3573,28.3552,47.7013,41.1234,40.8506,59.112,56.3157,18.3946,36.7565,26.2645,44.0913,60.8921,60.1716,35.273,51.86,44.7166,81.1361,83.9157,86.4866,6.5358,10.8205,9.5024,36.6029,56.3989,51.0807,43.8924,54.9121,54.1973,0,0,0,0,0,0,39.47326923076923,DE,Northeast,1,0.702469525729716,1,23
Denmark Technical College,HBCU,"Denmark, SC",1947,33.3278,-81.1478,6,5075,41.3689,72.1072,65.7306,2,6.7332,3.1261,12.1515,34.8274,23.5224,8.6244,27.8225,14.8104,31.0166,64.8108,52.9994,9.1285,28.8741,16.117,54.2889,79.133,72.9968,0,0,0,17.6412,34.0776,28.3614,5.6983,14.6835,8.9009,48.6376,74.3766,66.7616,21.5411,50.9336,35.9427,0,0,0,29.943792307692302,SC,South,1,0.575932337126424,1,24
Dillard University,HBCU,"New Orleans, LA",1869,29.9974,-90.1037,81,73157,61.3101,58.707,55.689,45.386,51.4102,44.1767,77.6924,63.9978,65.7809,81.5479,66.3271,69.1835,91.4443,71.0659,73.0735,65.7866,59.8937,60.3241,69.4463,60.9475,57.3366,68.0997,73.2962,70.2369,68.8997,63.2325,61.0321,78.5849,65.5131,67.4734,54.6045,52.8436,50.2035,36.8504,44.9327,36.1816,85,86.3844,82.1443,60.987392307692296,LA,South,1,0.4477285764764165,1,25
Edward Waters University,HBCU,"Jacksonville, FL",1866,30.3437,-81.6837,57,70302,63.9075,87.6949,87.922,27.0073,64.0523,51.8789,58.9683,82.7792,82.0081,75.9411,90.6742,91.9752,37.9334,74.9384,67.0889,74.7797,90.0264,91.3912,71.4008,89.4538,88.2,94.7895,95.3205,96.1484,98.1876,94.7235,95.4529,67.5566,87.8644,88.8185,94.4844,93.7016,94.547,85.9808,93.8197,94.4628,0,0,0,79.22260769230769,FL,South,1,0.44282698820253913,1,26
Elizabeth City State University,HBCU,"Elizabeth City, NC",1891,36.2946,-76.251,20,27628,3.5075,9.203,4.5707,2.5377,5.5457,2.7798,19.4757,35.6807,27.4869,15.3748,31.5472,21.1546,5.1678,9.4355,5.6069,26.523,44.3629,35.8008,46.847,59.0627,52.4428,30.9527,39.8076,36.895,48.5411,63.3001,58.4297,27.3736,46.4502,36.5462,60.649,63.4142,60.3045,0,0,0,0,0,0,26.309069230769232,NC,South,1,0.4839234945862877,1,27
Fayetteville State University,HBCU,"Fayetteville, NC",1867,35.0527,-78.8784,28,27487,16.5456,38.2915,27.4523,15,36.4748,24.0549,30.8318,52.7413,47.8873,31.1576,55.2645,50.3725,73.98,81.9543,84.9825,60.5461,74.2475,79.1063,57.581,73.085,72.2014,73.9883,84.8045,87.5814,36.7049,61.0147,56.269,34.287,57.9549,53.8994,65.6502,71.9283,73.9524,74.8815,82.2889,86.5006,77.8497,90.9379,90.9855,64.24965384615385,NC,South,1,0.4444596623712913,1,28
Fisk University,HBCU,"Nashville, TN",1866,36.1667,-86.7833,57,76426,54.5482,69.4401,68.8929,39.4524,61.3923,55.6638,88.6124,80.994,86.0434,90.5721,82.2496,87.818,51.699,69.1808,66.6446,83.4697,80.0185,85.4288,45.2958,57.5233,54.553,0,0,0,84.0585,80.8388,83.8378,85.2664,80.9014,85.9593,70.0398,76.5111,76.6921,23.9355,45.4255,34.5714,0,0,0,60.46962307692308,TN,South,1,0.44282698820253913,1,29
Florida A&M University,HBCU,"Tallahassee, FL",1887,30.4383,-84.2807,56,74142,54.6244,73.9734,62.2078,19.3636,44.0792,23.9088,77.4715,81.1876,75.263,55.6986,72.8255,63.4721,6.8616,18.6984,8.6176,56.8742,73.6982,65.2846,44.0398,62.0036,49.6877,88.7185,88.8459,84.6591,43.9438,67.4255,53.8051,44.1715,66.1992,53.5046,87.9643,84.8008,78.6863,16.5546,27.0814,20.5366,78,91.3279,85.4161,55.77303076923077,FL,South,1,0.47731878927721233,1,30
